Pekerjaan,"Apabila isu Transisi Energi dibicarakan di Pilkada, apa alasannya?","Apabila isu Energi Baru Terbarukan dibicarakan di Pilkada, apa alasannya?","Apabila isu Krisis Iklim/Perubahan Iklim dibicarakan di Pilkada, apa alasannya?","Apabila isu Mineral Kritis dibicarakan di Pilkada, apa alasannya?"
Elit Politik,Response,Response,Response,Response
Birokrasi,Lainnya,Lainnya,Karena mengintegrasikan kebijakan krisis iklim dalam pembangunan daerah dapat mengurangi risiko bencana dan kerugian ekonomi.,Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Elit Politik,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena kebijakan yang tepat terkait eksploitasi mineral kritis dapat mencegah kerusakan lingkungan
Birokrasi,Lainnya,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Elit Politik,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,Karena mengintegrasikan kebijakan krisis iklim dalam pembangunan daerah dapat mengurangi risiko bencana dan kerugian ekonomi.,Karena kebijakan yang tepat terkait eksploitasi mineral kritis dapat mencegah kerusakan lingkungan
Birokrasi,Lainnya,Lainnya,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Elit Politik,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Elit Politik,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",
Birokrasi,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Elit Politik,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena transisi energi menjadi salah satu solusi di tengah kelangkaan pasokan energi fosil,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pengelolaan mineral kritis yang baik oleh pemerintah daerah dapat menciptakan perlindungan hak-hak masyarakat lokal dan adat dalam kawasan yang kaya mineral kritis.
Elit Politik,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,Karena mengintegrasikan kebijakan krisis iklim dalam pembangunan daerah dapat mengurangi risiko bencana dan kerugian ekonomi.,Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Elit Politik,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,,Karena kebijakan yang tepat terkait eksploitasi mineral kritis dapat mencegah kerusakan lingkungan
Elit Politik,Lainnya,Sumber energi non-fosil/alternatif yang melimpah,Lainnya,Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Elit Politik,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena transisi energi menjadi salah satu solusi di tengah kelangkaan pasokan energi fosil,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena kebijakan yang tepat terkait eksploitasi mineral kritis dapat mencegah kerusakan lingkungan
Sipil,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena transisi energi dapat mendorong penggunaan energi yang murah,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pengelolaan mineral kritis yang baik oleh pemerintah daerah dapat menciptakan perlindungan hak-hak masyarakat lokal dan adat dalam kawasan yang kaya mineral kritis.
Birokrasi,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena kebijakan yang tepat terkait eksploitasi mineral kritis dapat mencegah kerusakan lingkungan
Birokrasi,Karena transisi energi menjadi komitmen pemerintah,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Birokrasi,Karena implementasi kebijakan transisi energi di daerah belum optimal meskipun sudah memiliki Perda Rencana Umum Energi Daerah Provinsi (RUED-P),Karena transisi energi menjadi salah satu solusi di tengah kelangkaan pasokan energi fosil,Karena mengintegrasikan kebijakan krisis iklim dalam pembangunan daerah dapat mengurangi risiko bencana dan kerugian ekonomi.,Karena kebijakan yang tepat terkait eksploitasi mineral kritis dapat mencegah kerusakan lingkungan
Elit Politik,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pengelolaan mineral kritis yang baik oleh pemerintah daerah dapat menciptakan perlindungan hak-hak masyarakat lokal dan adat dalam kawasan yang kaya mineral kritis.
Birokrasi,Lainnya,Lainnya,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena kebijakan yang tepat terkait eksploitasi mineral kritis dapat mencegah kerusakan lingkungan
Swasta,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena keberadaan mineral kritis di daerah dapat menarik investasi dan menciptakan lapangan pekerjaan baru.
Elit Politik,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Birokrasi,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Birokrasi,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,Karena kebijakan daerah yang proaktif terhadap krisis iklim dapat membantu mengurangi emisi karbon dan memperbaiki kualitas lingkungan,Karena pengelolaan mineral kritis yang baik oleh pemerintah daerah dapat menciptakan perlindungan hak-hak masyarakat lokal dan adat dalam kawasan yang kaya mineral kritis.
Birokrasi,Karena transisi energi menjadi komitmen pemerintah,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,Karena kebijakan daerah yang proaktif terhadap krisis iklim dapat membantu mengurangi emisi karbon dan memperbaiki kualitas lingkungan,Karena pengelolaan mineral kritis yang baik oleh pemerintah daerah dapat menciptakan perlindungan hak-hak masyarakat lokal dan adat dalam kawasan yang kaya mineral kritis.
Elit Politik,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena kebijakan yang tepat terkait eksploitasi mineral kritis dapat mencegah kerusakan lingkungan
Sipil,Karena transisi energi menjadi komitmen pemerintah,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena pemimpin yang peduli terhadap krisis iklim dapat menarik investasi, pelestarian lingkungan dan mendorong pembangunan berkelanjutan di daerah tersebut.",Karena keberadaan mineral kritis di daerah dapat menarik investasi dan menciptakan lapangan pekerjaan baru.
Birokrasi,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena transisi energi menjadi salah satu solusi di tengah kelangkaan pasokan energi fosil,"Karena pemimpin yang peduli terhadap krisis iklim dapat menarik investasi, pelestarian lingkungan dan mendorong pembangunan berkelanjutan di daerah tersebut.",Karena keberadaan mineral kritis di daerah dapat menarik investasi dan menciptakan lapangan pekerjaan baru.
Elit Politik,Karena transisi energi menjadi komitmen pemerintah,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Elit Politik,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Elit Politik,Karena implementasi kebijakan transisi energi di daerah belum optimal meskipun sudah memiliki Perda Rencana Umum Energi Daerah Provinsi (RUED-P),Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Elit Politik,Karena implementasi kebijakan transisi energi di daerah belum optimal meskipun sudah memiliki Perda Rencana Umum Energi Daerah Provinsi (RUED-P),Karena transisi energi menjadi salah satu solusi di tengah kelangkaan pasokan energi fosil,"Karena pemimpin yang peduli terhadap krisis iklim dapat menarik investasi, pelestarian lingkungan dan mendorong pembangunan berkelanjutan di daerah tersebut.",Karena kebijakan yang tepat terkait eksploitasi mineral kritis dapat mencegah kerusakan lingkungan
Elit Politik,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena pemimpin yang peduli terhadap krisis iklim dapat menarik investasi, pelestarian lingkungan dan mendorong pembangunan berkelanjutan di daerah tersebut.",Karena keberadaan mineral kritis di daerah dapat menarik investasi dan menciptakan lapangan pekerjaan baru.
Sipil,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena transisi energi dapat mendorong penggunaan energi yang murah,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena kebijakan yang tepat terkait eksploitasi mineral kritis dapat mencegah kerusakan lingkungan
Elit Politik,Karena transisi energi menjadi komitmen pemerintah,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena kebijakan yang tepat terkait eksploitasi mineral kritis dapat mencegah kerusakan lingkungan
Elit Politik,,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,,Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Elit Politik,Lainnya,Lainnya,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Swasta,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Elit Politik,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Lainnya
Birokrasi,Karena implementasi kebijakan transisi energi di daerah belum optimal meskipun sudah memiliki Perda Rencana Umum Energi Daerah Provinsi (RUED-P),Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena kebijakan yang tepat terkait eksploitasi mineral kritis dapat mencegah kerusakan lingkungan
Sipil,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena kebijakan yang tepat terkait eksploitasi mineral kritis dapat mencegah kerusakan lingkungan
Elit Politik,Karena implementasi kebijakan transisi energi di daerah belum optimal meskipun sudah memiliki Perda Rencana Umum Energi Daerah Provinsi (RUED-P),Sumber energi non-fosil/alternatif yang melimpah,"Karena pemimpin yang peduli terhadap krisis iklim dapat menarik investasi, pelestarian lingkungan dan mendorong pembangunan berkelanjutan di daerah tersebut.",Karena keberadaan mineral kritis di daerah dapat menarik investasi dan menciptakan lapangan pekerjaan baru.
Elit Politik,Karena transisi energi menjadi komitmen pemerintah,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Elit Politik,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Birokrasi,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Elit Politik,Karena transisi energi menjadi komitmen pemerintah,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Elit Politik,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Birokrasi,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Elit Politik,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,Karena kebijakan daerah yang proaktif terhadap krisis iklim dapat membantu mengurangi emisi karbon dan memperbaiki kualitas lingkungan,Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Birokrasi,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena kebijakan yang tepat terkait eksploitasi mineral kritis dapat mencegah kerusakan lingkungan
Birokrasi,Karena transisi energi menjadi komitmen pemerintah,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena pemimpin yang peduli terhadap krisis iklim dapat menarik investasi, pelestarian lingkungan dan mendorong pembangunan berkelanjutan di daerah tersebut.",Karena keberadaan mineral kritis di daerah dapat menarik investasi dan menciptakan lapangan pekerjaan baru.
