Pekerjaan,"Apabila isu Transisi Energi dibicarakan di Pilkada, apa alasannya?","Apabila isu Energi Baru Terbarukan dibicarakan di Pilkada, apa alasannya?","Apabila isu Krisis Iklim/Perubahan Iklim dibicarakan di Pilkada, apa alasannya?","Apabila isu Mineral Kritis dibicarakan di Pilkada, apa alasannya?"
Birokrasi,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Lainnya
Birokrasi,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Swasta,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena kebijakan yang tepat terkait eksploitasi mineral kritis dapat mencegah kerusakan lingkungan
Birokrasi,Karena transisi energi menjadi komitmen pemerintah,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Elit Politik,Lainnya,Lainnya,Lainnya,Lainnya
Sipil,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Elit Politik,Karena transisi energi menjadi komitmen pemerintah,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena pemimpin yang peduli terhadap krisis iklim dapat menarik investasi, pelestarian lingkungan dan mendorong pembangunan berkelanjutan di daerah tersebut.",Karena pengelolaan mineral kritis yang baik oleh pemerintah daerah dapat menciptakan perlindungan hak-hak masyarakat lokal dan adat dalam kawasan yang kaya mineral kritis.
,Karena transisi energi menjadi komitmen pemerintah,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Birokrasi,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Birokrasi,Karena transisi energi menjadi komitmen pemerintah,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena pemimpin yang peduli terhadap krisis iklim dapat menarik investasi, pelestarian lingkungan dan mendorong pembangunan berkelanjutan di daerah tersebut.",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Elit Politik,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena pemimpin yang peduli terhadap krisis iklim dapat menarik investasi, pelestarian lingkungan dan mendorong pembangunan berkelanjutan di daerah tersebut.",Lainnya
Elit Politik,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena kebijakan yang tepat terkait eksploitasi mineral kritis dapat mencegah kerusakan lingkungan
,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena kebijakan yang tepat terkait eksploitasi mineral kritis dapat mencegah kerusakan lingkungan
Birokrasi,Karena transisi energi menjadi komitmen pemerintah,Karena transisi energi dapat mendorong penggunaan energi yang murah,Karena mengintegrasikan kebijakan krisis iklim dalam pembangunan daerah dapat mengurangi risiko bencana dan kerugian ekonomi.,Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Birokrasi,Karena transisi energi menjadi komitmen pemerintah,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena keberadaan mineral kritis di daerah dapat menarik investasi dan menciptakan lapangan pekerjaan baru.
Birokrasi,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Lainnya
Birokrasi,Karena transisi energi menjadi komitmen pemerintah,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Birokrasi,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pengelolaan mineral kritis yang baik oleh pemerintah daerah dapat menciptakan perlindungan hak-hak masyarakat lokal dan adat dalam kawasan yang kaya mineral kritis.
Birokrasi,Lainnya,Lainnya,Lainnya,Lainnya
Birokrasi,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Birokrasi,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena kebijakan yang tepat terkait eksploitasi mineral kritis dapat mencegah kerusakan lingkungan
Sipil,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena kebijakan yang tepat terkait eksploitasi mineral kritis dapat mencegah kerusakan lingkungan
Elit Politik,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena transisi energi menjadi salah satu solusi di tengah kelangkaan pasokan energi fosil,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pengelolaan mineral kritis yang baik oleh pemerintah daerah dapat menciptakan perlindungan hak-hak masyarakat lokal dan adat dalam kawasan yang kaya mineral kritis.
Elit Politik,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena transisi energi menjadi salah satu solusi di tengah kelangkaan pasokan energi fosil,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena keberadaan mineral kritis di daerah dapat menarik investasi dan menciptakan lapangan pekerjaan baru.
Sipil,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Elit Politik,Karena transisi energi menjadi komitmen pemerintah,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena pemimpin yang peduli terhadap krisis iklim dapat menarik investasi, pelestarian lingkungan dan mendorong pembangunan berkelanjutan di daerah tersebut.",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Elit Politik,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Sumber energi non-fosil/alternatif yang melimpah,"Karena pemimpin yang peduli terhadap krisis iklim dapat menarik investasi, pelestarian lingkungan dan mendorong pembangunan berkelanjutan di daerah tersebut.",Karena keberadaan mineral kritis di daerah dapat menarik investasi dan menciptakan lapangan pekerjaan baru.
Elit Politik,Karena transisi energi menjadi komitmen pemerintah,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Swasta,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Elit Politik,Lainnya,Lainnya,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Sipil,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Lainnya
Elit Politik,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Elit Politik,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Sipil,Karena implementasi kebijakan transisi energi di daerah belum optimal meskipun sudah memiliki Perda Rencana Umum Energi Daerah Provinsi (RUED-P),Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Sipil,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena pemimpin yang peduli terhadap krisis iklim dapat menarik investasi, pelestarian lingkungan dan mendorong pembangunan berkelanjutan di daerah tersebut.",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Birokrasi,Karena implementasi kebijakan transisi energi di daerah belum optimal meskipun sudah memiliki Perda Rencana Umum Energi Daerah Provinsi (RUED-P),Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pengelolaan mineral kritis yang baik oleh pemerintah daerah dapat menciptakan perlindungan hak-hak masyarakat lokal dan adat dalam kawasan yang kaya mineral kritis.
Birokrasi,Karena transisi energi menjadi komitmen pemerintah,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",
Elit Politik,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Birokrasi,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena kebijakan yang tepat terkait eksploitasi mineral kritis dapat mencegah kerusakan lingkungan
Birokrasi,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena pemimpin yang peduli terhadap krisis iklim dapat menarik investasi, pelestarian lingkungan dan mendorong pembangunan berkelanjutan di daerah tersebut.",Karena kebijakan yang tepat terkait eksploitasi mineral kritis dapat mencegah kerusakan lingkungan
Sipil,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena pemimpin yang peduli terhadap krisis iklim dapat menarik investasi, pelestarian lingkungan dan mendorong pembangunan berkelanjutan di daerah tersebut.",Karena keberadaan mineral kritis di daerah dapat menarik investasi dan menciptakan lapangan pekerjaan baru.
Swasta,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena transisi energi menjadi salah satu solusi di tengah kelangkaan pasokan energi fosil,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pengelolaan mineral kritis yang baik oleh pemerintah daerah dapat menciptakan perlindungan hak-hak masyarakat lokal dan adat dalam kawasan yang kaya mineral kritis.
Elit Politik,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena kebijakan yang tepat terkait eksploitasi mineral kritis dapat mencegah kerusakan lingkungan
Birokrasi,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena pemimpin yang peduli terhadap krisis iklim dapat menarik investasi, pelestarian lingkungan dan mendorong pembangunan berkelanjutan di daerah tersebut.",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Birokrasi,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Birokrasi,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Birokrasi,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Birokrasi,Lainnya,Lainnya,Lainnya,Lainnya
Swasta,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Birokrasi,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pengelolaan mineral kritis yang baik oleh pemerintah daerah dapat menciptakan perlindungan hak-hak masyarakat lokal dan adat dalam kawasan yang kaya mineral kritis.
